0;12;15;18;37;41;45;47;51;55;65;69;70;72;73;75;77;82;84;87;88;89;92;97;101;102;106;111
IBM Certified Cloud Professional Architect;Learning Path;;;Show more options for IBM Certified Cloud Professional Architect;;;Save;;;;Aug 2022;;;;;;;IBM;;;;;;;;;
Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services;Course;;;Show more options for Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services;;;Save;;;1h 7m;;;Intermediate;;;Updated Feb 2024;;;;;;LinkedIn;;By: Adam Wilbert;;;
Data Engineering Foundations Professional Certificate by Astronomer;Professional Certificate;;;Show more options for Data Engineering Foundations Professional Certificate by Astronomer;;;Save;;;11h;;;;Updated 1 month ago;;;;;;;Provided by Astronomer and LinkedIn;;;;;;
Azure Database Administrator Associate (DP-300) Cert Prep: 2 Azure Data Optimization and Automation;Course;;;Show more options for Azure Database Administrator Associate (DP-300) Cert Prep: 2 Azure Data Optimization and Automation;;;Save;;;1h 52m;;;Intermediate;;;Updated Feb 2024;;;;;;LinkedIn;;By: Adam Wilbert;;;
Designing Database Solutions for SQL Server 2016;Course;;;Show more options for Designing Database Solutions for SQL Server 2016;;;Save;;;3h 14m;;;Advanced;;;Feb 2017;;;;;;LinkedIn;;By: Adam Wilbert;;;
Complete Guide to Oracle Database 23ai: From Beginner to Advanced;Course;;;Show more options for Complete Guide to Oracle Database 23ai: From Beginner to Advanced;;;Save;;;5h 18m;;;Advanced;;;3 months ago;;;;;;LinkedIn;;By: Kellyn Gorman;;;
Microsoft Copilot for Azure SQL Database;Course;Popular;;;Show more options for Microsoft Copilot for Azure SQL Database;;;Save;;;;22m;;;;Intermediate;1 month ago;;;;;;LinkedIn;;;By: Scott Simpson;
Microsoft SQL Server 2016: Installation and Administration;Course;;;Show more options for Microsoft SQL Server 2016: Installation and Administration;;;Save;;;2h 35m;;;Beginner + Intermediate;;;Nov 2016;;;;;;LinkedIn;;By: Gerry O'Brien;;;
Complete Guide to SQL for Data Engineering: from Beginner to Advanced;Course;Popular;;;Show more options for Complete Guide to SQL for Data Engineering: from Beginner to Advanced;;;Save;;;;7h 11m;;;;Intermediate;4 months ago;;;;;;LinkedIn;;;By: Deepak Goyal;
From Excel to SQL;Course;;;Show more options for From Excel to SQL;;;Save;;;1h 24m;;;Beginner;;;Feb 2021;;;;;;LinkedIn;;By: Madecraft and James Parkin;;;
