0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Complete Guide to Apache Kafka for Beginners;Course;Popular;;;Show more options for Complete Guide to Apache Kafka for Beginners;;;Save;;;8h 13m;;;;Beginner;May 2023;;;;;LinkedIn;;;By: Stephane Maarek;
Azure Data Engineer Associate (DP-203) Cert Prep: 1 Design and Implement Data Storage;Course;;;Show more options for Azure Data Engineer Associate (DP-203) Cert Prep: 1 Design and Implement Data Storage;;;Save;;;55m;;Intermediate;;;Jan 2022;;;;;LinkedIn;;By: Noah Gift;;;
Apache Spark Essential Training: Big Data Engineering;Course;New;;;Show more options for Apache Spark Essential Training: Big Data Engineering;;;Save;;;1h 4m;;;;Intermediate;6 days ago;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Apache Flink: Real-Time Data Engineering;Course;;;Show more options for Apache Flink: Real-Time Data Engineering;;;Save;;;1h 11m;;Advanced;;;Feb 2020;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
The Data Science of Nonprofit Service Organizations, with Barton Poulson;Course;;;Show more options for The Data Science of Nonprofit Service Organizations, with Barton Poulson;;;Save;;;1h 8m;;General;;;Oct 2018;;;;;LinkedIn;;By: Barton Poulson;;;
Azure Data Engineer Associate (DP-203) Cert Prep: 2 Design and Develop Data Processing;Course;;;Show more options for Azure Data Engineer Associate (DP-203) Cert Prep: 2 Design and Develop Data Processing;;;Save;;;46m;;Intermediate;;;Jan 2022;;;;;LinkedIn;;By: Noah Gift;;;
Fundamentals of Data Transformation with pandas and DuckDB SQL;Course;;;Show more options for Fundamentals of Data Transformation with pandas and DuckDB SQL;;;Save;;;3h 28m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Matt Palmer;;;
Complete Guide to Data Lakes and Lakehouses;Course;Popular;;;Show more options for Complete Guide to Data Lakes and Lakehouses;;;Save;;;5h 39m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Thalia Barrera;
Working with Data Arrays in PostgreSQL;Course;;;Show more options for Working with Data Arrays in PostgreSQL;;;Save;;;1h 59m;;Advanced;;;Mar 2024;;;;;LinkedIn;;By: Adam Wilbert;;;
Big Data in the Age of AI;Course;Popular;;;Show more options for Big Data in the Age of AI;;;Save;;;2h 7m;;;;Beginner;Sep 2019;;;;;LinkedIn;;;By: Barton Poulson;
Big Data Analytics with Hadoop and Apache Spark;Course;;;Show more options for Big Data Analytics with Hadoop and Apache Spark;;;Save;;;1h 1m;;Intermediate;;;Feb 2020;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Snowpark for Data Engineers;Course;New;Popular;;;Show more options for Snowpark for Data Engineers;;;Save;;;;;1h 51m;;Intermediate;3 weeks ago;;;;;;LinkedIn;;By: Janani Ravi
Data Science Tools of the Trade: First Steps;Course;;;Show more options for Data Science Tools of the Trade: First Steps;;;Save;;;2h 23m;;Beginner;;;Aug 2018;;;;;LinkedIn;;By: Jungwoo Ryoo;;;
Insights on Data Science: Lillian Pierson;Course;;;Show more options for Insights on Data Science: Lillian Pierson;;;Save;;;23m;;Intermediate;;;Aug 2017;;;;;LinkedIn;;By: Lillian Pierson, P.E.;;;
Google Cloud Professional Data Engineer Cert Prep: 1 Designing Data Processing Systems;Course;;;Show more options for Google Cloud Professional Data Engineer Cert Prep: 1 Designing Data Processing Systems;;;Save;;;1h 4m;;Advanced;;;Jul 2023;;;;;LinkedIn;;By: Noah Gift;;;
Data Engineering Pipeline Management with Apache Airflow;Course;;;Show more options for Data Engineering Pipeline Management with Apache Airflow;;;Save;;;2h 8m;;Intermediate;;;Aug 2023;;;;;LinkedIn;;By: Janani Ravi;;;
Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 1 Design and Implement Data Storage by Microsoft Press;Course;;;Show more options for Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 1 Design and Implement Data Storage by Microsoft Press;;;Save;;;3h;;Intermediate;;;Aug 2023;;;;;LinkedIn;;By: Microsoft Press and Tim Warner;;;
Architecting Big Data Applications: Batch Mode Application Engineering;Course;;;Show more options for Architecting Big Data Applications: Batch Mode Application Engineering;;;Save;;;1h 28m;;Advanced;;;Oct 2023;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Develop Your Scala Skills for Data Engineering;Learning Path;;;Show more options for Develop Your Scala Skills for Data Engineering;;;Save;;;11h;;;Updated 2 months ago;;;;;LinkedIn;;;;;;;
