0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Apache Spark Deep Learning Essential Training;Course;;;Show more options for Apache Spark Deep Learning Essential Training;;;Save;;;42m;;Intermediate;;;Jul 2019;;;;;LinkedIn;;By: Jonathan Fernandes;;;
Splunk for Security Analytics and Monitoring;Course;;;Show more options for Splunk for Security Analytics and Monitoring;;;Save;;;3h 18m;;Intermediate;;;Dec 2022;;;;;LinkedIn;;By: Daniel Lachance;;;
Advanced SQL Project: Design and Manage a Database;Course;Popular;;;Show more options for Advanced SQL Project: Design and Manage a Database;;;Save;;;2h 24m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Walter Shields;
Data Analytics with Google Cloud BigQuery and Looker Studio;Course;;;Show more options for Data Analytics with Google Cloud BigQuery and Looker Studio;;;Save;;;1h 5m;;Intermediate;;;May 2023;;;;;LinkedIn;;By: Yoyu Li;;;
Complete Guide to R: Wrangling, Visualizing, and Modeling Data;Course;Popular;;;Show more options for Complete Guide to R: Wrangling, Visualizing, and Modeling Data;;;Save;;;8h 15m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Barton Poulson;
Prepare for the Google Cloud Professional Data Engineer Certification;Learning Path;;;Show more options for Prepare for the Google Cloud Professional Data Engineer Certification;;;Save;;;4h;;;Updated Nov 2023;;;;;LinkedIn;;;;;;;
Python Data Structures: Sets and Frozen Sets;Course;;;Show more options for Python Data Structures: Sets and Frozen Sets;;;Save;;;1h 37m;;Beginner;;;May 2021;;;;;LinkedIn;;By: Mridu Bhatnagar;;;
Integrating Splunk with Microsoft Purview;Course;;;Show more options for Integrating Splunk with Microsoft Purview;;;Save;;;1h 8m;;Advanced;;;2 months ago;;;;;LinkedIn;;By: Oluwaseun Adebayo;;;
Introduction to SQL Using Google BigQuery;Course;;;Show more options for Introduction to SQL Using Google BigQuery;;;Save;;;3h 20m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Danny Ma;;;
Python Data Structures and Algorithms;Course;Popular;;;Show more options for Python Data Structures and Algorithms;;;Save;;;2h 19m;;;;Intermediate;Updated Dec 2023;;;;;LinkedIn;;;By: Robin Andrews;
Introduction to Alteryx;Course;;;Show more options for Introduction to Alteryx;;;Save;;;55m;;Beginner;;;Apr 2023;;;;;LinkedIn;;By: Aaron Harter;;;
Database Foundations: Data Structures;Course;Popular;;;Show more options for Database Foundations: Data Structures;;;Save;;;2h 56m;;;;Beginner;Updated Sep 2023;;;;;LinkedIn;;;By: Adam Wilbert;
Integrate Microsoft Graph in Your Applications;Course;;;Show more options for Integrate Microsoft Graph in Your Applications;;;Save;;;1h 51m;;Intermediate;;;Feb 2024;;;;;LinkedIn;;By: Sahil Malik;;;
Prepare for the Databricks Certified Data Engineer Associate Certification;Learning Path;;;Show more options for Prepare for the Databricks Certified Data Engineer Associate Certification;;;Save;;;2h 21m;;;Updated Feb 2024;;;;;LinkedIn;;;;;;;
Deploying and Running Apache Kafka on Kubernetes;Course;;;Show more options for Deploying and Running Apache Kafka on Kubernetes;;;Save;;;1h 44m;;Intermediate;;;Dec 2021;;;;;LinkedIn;;By: Kate Stanley;;;
Advance Your Data Skills in Apache Spark;Learning Path;;;Show more options for Advance Your Data Skills in Apache Spark;;;Save;;;15h;;;Updated Apr 2024;;;;;LinkedIn;;;;;;;
Using Data in Financial Analysis;Course;;;Show more options for Using Data in Financial Analysis;;;Save;;;1h 44m;;Intermediate;;;Nov 2023;;;;;LinkedIn;;By: Michael McDonald;;;
Objects in JavaScript: A Dynamic Data Structure;Course;;;Show more options for Objects in JavaScript: A Dynamic Data Structure;;;Save;;;40m;;Intermediate;;;Dec 2023;;;;;LinkedIn;;By: Tiffany Graves;;;
Introduction to Data Warehouses;Course;Popular;;;Show more options for Introduction to Data Warehouses;;;Save;;;46m;;;;Beginner;Jun 2023;;;;;LinkedIn;;;By: Deepak Goyal;
Learning Azure Stream Analytics;Course;;;Show more options for Learning Azure Stream Analytics;;;Save;;;28m;;General;;;Feb 2024;;;;;LinkedIn;;By: Karsten Ulferts;;;
Python Data Structures: Dictionaries;Course;;;Show more options for Python Data Structures: Dictionaries;;;Save;;;57m;;Beginner;;;Jul 2020;;;;;LinkedIn;;By: Deepa Muralidhar;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Cleaning, Transforming, and Loading Data in Power BI;Course;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Cleaning, Transforming, and Loading Data in Power BI;;;Save;;;1h 16m;;Intermediate;;;Apr 2023;;;;;LinkedIn;;By: Emilio Melo;;;
Troubleshooting and Debugging Kafka;Course;;;Show more options for Troubleshooting and Debugging Kafka;;;Save;;;2h 10m;;Advanced;;;Jul 2023;;;;;LinkedIn;;By: Janani Ravi;;;
Practice It C++: Common Data Structures;Course;;;Show more options for Practice It C++: Common Data Structures;;;Save;;;1h 23m;;Intermediate;;;Jul 2023;;;;;LinkedIn;;By: Károly Nyisztor;;;
Oracle Database 19c: Multitenant Architecture;Course;;;Show more options for Oracle Database 19c: Multitenant Architecture;;;Save;;;1h 34m;;Intermediate;;;Updated Feb 2024;;;;;LinkedIn;;By: Bob Bryla;;;
Oracle DB Cloud Database Migration and Integration Workshop;Course;;;Show more options for Oracle DB Cloud Database Migration and Integration Workshop;;;Save;;;4h 2m;;Advanced;;;Aug 2023;;;;;LinkedIn;;By: Oracle University;;;
Data Cleaning in Python Essential Training;Course;;;Show more options for Data Cleaning in Python Essential Training;;;Save;;;1h 5m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: Miki Tebeka;;;
Apache PySpark by Example;Course;;;Show more options for Apache PySpark by Example;;;Save;;;1h 58m;;Intermediate;;;Jan 2019;;;;;LinkedIn;;By: Jonathan Fernandes;;;
Microsoft Azure Data Fundamentals (DP-900) Exam Tips;Course;;;Show more options for Microsoft Azure Data Fundamentals (DP-900) Exam Tips;;;Save;;;1h 53m;;Beginner + Intermediate;;;Mar 2021;;;;;LinkedIn;;By: Emilio Melo;;;
Microsoft Azure Synapse for Developers;Course;;;Show more options for Microsoft Azure Synapse for Developers;;;Save;;;2h 36m;;Intermediate;;;Sep 2021;;;;;LinkedIn;;By: Nertil Poci;;;
SAS® 9.4 Cert Prep: Part 04 Preparing Data;Course;;;Show more options for SAS® 9.4 Cert Prep: Part 04 Preparing Data;;;Save;;;28m;;Intermediate;;;Jan 2020;;;;;LinkedIn;;By: SAS Institute;;;
Data Wrangling in R;Course;;;Show more options for Data Wrangling in R;;;Save;;;2h 51m;;Intermediate;;;Jul 2021;;;;;LinkedIn;;By: Mike Chapple;;;
Implementing a Data Warehouse with SQL Server 2022;Course;;;Show more options for Implementing a Data Warehouse with SQL Server 2022;;;Save;;;2h 36m;;Intermediate;;;Jan 2023;;;;;LinkedIn;;By: Adam Wilbert;;;
Advance Your Python Skills for Data Science;Learning Path;;;Show more options for Advance Your Python Skills for Data Science;;;Save;;;21h;;;Updated 3 weeks ago;;;;;LinkedIn;;;;;;;
Essentials of MLOps with Azure: 4 Spark MLflow Models and Model Registry;Course;;;Show more options for Essentials of MLOps with Azure: 4 Spark MLflow Models and Model Registry;;;Save;;;12m;;Advanced;;;Sep 2022;;;;;LinkedIn;;By: Noah Gift;;;
Processing Data Sources in PHP;Course;;;Show more options for Processing Data Sources in PHP;;;Save;;;1h 29m;;Intermediate;;;Jul 2022;;;;;LinkedIn;;By: Joe Casabona;;;
Tuning Kafka;Course;;;Show more options for Tuning Kafka;;;Save;;;1h 57m;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Janani Ravi;;;
Implementing a Data Warehouse SQL Server 2019;Course;;;Show more options for Implementing a Data Warehouse SQL Server 2019;;;Save;;;2h 7m;;Intermediate;;;Oct 2019;;;;;LinkedIn;;By: Adam Wilbert;;;
Advanced BigQuery;Course;;;Show more options for Advanced BigQuery;;;Save;;;2h 14m;;Advanced;;;Jul 2022;;;;;LinkedIn;;By: Kishan Iyer;;;
Azure Spark Databricks Essential Training;Course;;;Show more options for Azure Spark Databricks Essential Training;;;Save;;;2h 52m;;Intermediate;;;Jan 2019;;;;;LinkedIn;;By: Lynn Langit;;;
Learning BigQuery;Course;;;Show more options for Learning BigQuery;;;Save;;;1h 58m;;Beginner;;;Jul 2022;;;;;LinkedIn;;By: Kishan Iyer;;;
Cleaning Bad Data in R;Course;;;Show more options for Cleaning Bad Data in R;;;Save;;;1h 54m;;Beginner + Intermediate;;;Aug 2018;;;;;LinkedIn;;By: Mike Chapple;;;
C++ Programming Professional Certificate by OpenEDG C++ Institute;Professional Certificate;;;Show more options for C++ Programming Professional Certificate by OpenEDG C++ Institute;;;Save;;;8h 35m;;;Updated 2 months ago;;;;;;Provided by OpenEDG C++ Institute and LinkedIn;;;;;;
Microsoft Azure Synapse for Developers: Scaling Configuration;Course;;;Show more options for Microsoft Azure Synapse for Developers: Scaling Configuration;;;Save;;;1h 41m;;Advanced;;;Jan 2022;;;;;LinkedIn;;By: Nertil Poci;;;
Essentials of MLOps with Azure: 2 Databricks MLflow and MLflow Tracking;Course;;;Show more options for Essentials of MLOps with Azure: 2 Databricks MLflow and MLflow Tracking;;;Save;;;20m;;Advanced;;;Sep 2022;;;;;LinkedIn;;By: Noah Gift;;;
Essentials of MLOps with Azure: 3 Spark MLflow Projects on Databricks;Course;;;Show more options for Essentials of MLOps with Azure: 3 Spark MLflow Projects on Databricks;;;Save;;;18m;;Advanced;;;Sep 2022;;;;;LinkedIn;;By: Noah Gift;;;
FME Desktop: Data Translation for AEC;Course;;;Show more options for FME Desktop: Data Translation for AEC;;;Save;;;3h 47m;;Beginner;;;Oct 2020;;;;;LinkedIn;;By: Gordon Luckett;;;
Amazon Redshift Essentials;Course;;;Show more options for Amazon Redshift Essentials;;;Save;;;1h 5m;;Beginner;;;Apr 2022;;;;;LinkedIn;;By: Jeremy Villeneuve;;;
Advanced Google Dataflow;Course;;;Show more options for Advanced Google Dataflow;;;Save;;;2h 31m;;Advanced;;;Aug 2022;;;;;LinkedIn;;By: Kishan Iyer;;;
Learning Google Dataflow;Course;;;Show more options for Learning Google Dataflow;;;Save;;;2h 2m;;Advanced;;;Aug 2022;;;;;LinkedIn;;By: Kishan Iyer;;;
Getting Started with Python;Learning Path;;;Show more options for Getting Started with Python;;;Save;;;12h;;;Updated 2 months ago;;;;;LinkedIn;;;;;;;
