0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
MySQL for Non-Programmers;Course;;;Show more options for MySQL for Non-Programmers;;;Save;;;1h 2m;;Beginner;;;Jun 2022;;;;;LinkedIn;;By: Martine Moses;;;
Complete Your First Project in SQL;Course;;;Show more options for Complete Your First Project in SQL;;;Save;;;1h 17m;;Intermediate;;;Mar 2024;;;;;LinkedIn;;By: Megan Silvey;;;
Introduction to Couchbase;Course;;;Show more options for Introduction to Couchbase;;;Save;;;1h 11m;;Beginner;;;Updated Feb 2024;;;;;LinkedIn;;By: Michelle Burns;;;
Advanced SQL Project: Design and Manage a Database;Course;Popular;;;Show more options for Advanced SQL Project: Design and Manage a Database;;;Save;;;2h 24m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Walter Shields;
Introduction to Neo4j;Course;;;Show more options for Introduction to Neo4j;;;Save;;;1h 25m;;Beginner;;;Aug 2022;;;;;LinkedIn;;By: Ljubica Lazarevic;;;
MySQL for Data Analysis;Course;;;Show more options for MySQL for Data Analysis;;;Save;;;54m;;Beginner;;;May 2022;;;;;LinkedIn;;By: Ava Meredith;;;
PHP with MySQL Essential Training: 2 Build a CMS;Course;;;Show more options for PHP with MySQL Essential Training: 2 Build a CMS;;;Save;;;3h 51m;;Intermediate;;;Updated Nov 2023;;;;;LinkedIn;;By: Kevin Skoglund;;;
Azure Database for MySQL;Course;;;Show more options for Azure Database for MySQL;;;Save;;;2h 19m;;Intermediate;;;Jan 2023;;;;;LinkedIn;;By: Microsoft .NET;;;
Learning SQL Programming;Course;Popular;;;Show more options for Learning SQL Programming;;;Save;;;1h 48m;;;;Beginner;Updated Dec 2023;;;;;LinkedIn;;;By: Scott Simpson;
SQL Queries Made Easy;Course;Updated;;;Show more options for SQL Queries Made Easy;;;Save;;;1h 2m;;;;Beginner;Updated 1 week ago;;;;;LinkedIn;;;By: Deepa Maddala;
Practice It: PHP with MySQL;Course;;;Show more options for Practice It: PHP with MySQL;;;Save;;;53m;;Intermediate;;;Oct 2023;;;;;LinkedIn;;By: Kevin Skoglund;;;
Complete Guide to Oracle Database 23ai: From Beginner to Advanced;Course;;;Show more options for Complete Guide to Oracle Database 23ai: From Beginner to Advanced;;;Save;;;5h 18m;;Advanced;;;3 months ago;;;;;LinkedIn;;By: Kellyn Gorman;;;
NoSQL Essential Training;Course;;;Show more options for NoSQL Essential Training;;;Save;;;45m;;Beginner;;;Updated 3 months ago;;;;;LinkedIn;;By: Melanie McGee;;;
Firebase Essential Training;Course;;;Show more options for Firebase Essential Training;;;Save;;;4h 53m;;Intermediate;;;Aug 2020;;;;;LinkedIn;;By: Shaun Wassell;;;
SQL: Data Reporting and Analysis;Course;Popular;;;Show more options for SQL: Data Reporting and Analysis;;;Save;;;2h 32m;;;;Intermediate;Jul 2022;;;;;LinkedIn;;;By: Emma Saunders;
SQL for Exploratory Data Analysis Essential Training;Course;;;Show more options for SQL for Exploratory Data Analysis Essential Training;;;Save;;;44m;;Beginner;;;Jun 2018;;;;;LinkedIn;;By: Dan Sullivan;;;
Advanced SQL for Application Development;Course;;;Show more options for Advanced SQL for Application Development;;;Save;;;2h 7m;;Advanced;;;Updated Apr 2024;;;;;LinkedIn;;By: Dan Sullivan;;;
SQL for Data Analysis;Course;Popular;;;Show more options for SQL for Data Analysis;;;Save;;;1h 10m;;;;Intermediate;Jul 2023;;;;;LinkedIn;;;By: Nikiya Simpson;
