0;1;2;3;4;5
Business-Intelligence;Power BI Top Skills;2022-02-17;48004;Learn how to use Microsoft Power BI, one of the most popular and user-friendly data analytics tools in the world.;['Microsoft Power BI']
Business-Intelligence;Features and Functions in SAP Materials Planning;2022-02-10;15599;Learn more about how to use SAP to enhance material requirements planning for more effective results.;['SAP Products']
Business-Intelligence;Learning Microsoft Power Apps;2022-05-19;24873;Learn how to use a graphic interface to create powerful business apps that pull data from integrated Microsoft products.;['Microsoft Power Apps']
Business-Intelligence;Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 6 Power Virtual Agents by Microsoft Press;2023-06-27;1380;Explore the core components of Power Virtual Agents to prepare for the Microsoft Power Platform Fundamentals (PL-900) certification exam.;['Microsoft Power Platform', 'Microsoft Power Virtual Agents']
Business-Intelligence;Microsoft Power Automate: Business Process Flows;2021-03-22;28879;Learn how to use business process flows, an advanced feature of Power Automate;['Microsoft Power Automate']
Business-Intelligence;Practice Exam 4 for Microsoft Power Platform Fundamentals (PL-900);2024-05-09;0;Prepare for certification exams with LinkedIn practice exams. Access multiple practice modes with unlimited attempts, detailed results, and explanations for each answer.;['Microsoft Power Platform']
Business-Intelligence;Microsoft Power Apps Essential Training: Beyond the Basics;2020-09-14;43018;Do more with Microsoft Power Apps. Learn how to create and deploy data-driven mobile applications without writing any code.;['Microsoft Power Apps']
Business-Intelligence;Microsoft Power Automate: Advanced Business Automation;2022-08-30;20003;Explore advanced business automation options with Microsoft Power Automate Flows.;['Microsoft Power Automate']
Business-Intelligence;Practice Exam 1 for Microsoft Power Platform Fundamentals (PL-900);2024-05-09;0;Prepare for certification exams with LinkedIn practice exams. Access multiple practice modes with unlimited attempts, detailed results, and explanations for each answer.;['Microsoft Power Platform']
Business-Intelligence;Data Analytics with Google Cloud BigQuery and Looker Studio;2023-05-31;9900;Learn how to use Google Cloud BigQuery and Looker Studio to tell your story through data.;['Looker (Software)', 'Google BigQuery', 'Google Cloud Platform (GCP)', 'Data Analytics']
Business-Intelligence;Practice Exam 2 for Microsoft Power Platform Fundamentals (PL-900);2024-05-09;0;Prepare for certification exams with LinkedIn practice exams. Access multiple practice modes with unlimited attempts, detailed results, and explanations for each answer.;['Microsoft Power Platform']
