0;1;2;3;4;5
Database-Administration;SQL Tips and Tricks for Data Science;2016-11-29;204732;Get Ben Sullins's 12 must-have SQL techniques for data science pros—engineers, DevOps, data miners, programmers, and other systems specialists.;['SQL']
Database-Administration;Deploy SQL Server on Linux, Containers, and Kubernetes;2023-10-02;1887;Get a comprehensive overview of the skills required to deploy SQL Server on non-Windows platforms such as Linux, Docker, and Kubernetes.;['SQL', 'Service Deployment', 'Microsoft SQL Server']
Database-Administration;Intermediate SQL for Data Scientists;2021-07-20;103352;Dive into one of the most important data science tools: SQL. Learn how to use joins and subqueries, statistical functions, window functions, and much more.;['SQL', 'Database Queries']
Database-Administration;Advanced SQL for Data Scientists;2021-05-27;141907;Learn advanced techniques for analyzing large data sets with SQL. Find out how to build sophisticated data models, optimize queries, extend SQL with user-defined functions, and more.;['SQL', 'Data Analysis']
Database-Administration;Learning Oracle Database 12c;2017-03-30;34022;In this course, database administrators can learn how to configure Oracle Database 12c, and business intelligence developers can learn how to effectively write applications using it.;['Oracle Database']
Database-Administration;SQL for Testers;2020-09-15;80597;Ground yourself in the basic approaches to testing SQL queries and gain the ability to do deep testing and analysis of back-end problems.;['Database Testing', 'SQL']
Database-Administration;Advanced SQL for Application Development;2020-05-27;41094;Build scalable and resilient databases to support any application. Learn how to write optimized SQL, use indexes, partition data, and use established design patterns.;['SQL', 'Application Development']
Database-Administration;Developing Microsoft SQL Server 2016 Databases;2016-12-19;22824;Learn how to develop a SQL Server 2016 database with more advanced features, like temporary tables, stored procedures, indexes, and secure user accounts.;['Microsoft SQL Server']
Database-Administration;SQL for Finance: Income Statement Project;2024-01-09;23167;Gain a deep understanding of the fundamental concepts of financial accounting and how SQL can help you.;['SQL', 'Financial Data']
Database-Administration;Advanced SQL: Logical Query Processing, Part 1;2020-03-30;56815;Gain a deep understanding of how the database processes SQL queries, improve your programming skills, and learn to effortlessly read, write, and troubleshoot SQL queries.;['SQL', 'Database Queries']
Database-Administration;Oracle Database 12c: Backup and Recovery;2017-10-16;20020;Learn how to design and implement backup and recovery strategies that keep the data stored in your Oracle 12c databases safe and secure.;['Oracle Database', 'Backup & Recovery Systems']
Database-Administration;SQL Server 2016: Administer a Database Infrastructure;2017-08-11;26641;Learn how to administer SQL Server 2016, and prepare for the Microsoft MCSA Administering a SQL Database Infrastructure (70-764) certification exam.;['Microsoft SQL Server', 'Database Administration']
Database-Administration;Introduction to Couchbase;2022-06-15;2819;Learn the basics of this popular, highly-performant noSQL database.;['Couchbase', 'Database Development']
Database-Administration;Hands-On Data Science using SQL, Tableau, Python, and Spark;2024-03-05;7173;Get practical, hands-on data science experience using SQL, Tableau, Python, and Spark.;['Data Science', 'SQL', 'Python (Programming Language)', 'Tableau']
Database-Administration;SQL vs. NoSQL: Which Database Type Is Right for You?;2022-10-26;3669;Explore the differences between relational and NoSQL databases so you can choose the best fit for your organization.;['SQL', 'NoSQL']
Database-Administration;Oracle Base Database Services Professional Workshop;2023-08-25;2719;Learn how to implement and manage Oracle Cloud Database Services as you prepare for the Oracle Base Database Services 2023 Certified Professional certification exam.;['Oracle Cloud', 'Oracle Database']
Database-Administration;Using SQL with Python;2021-07-12;80309;If you already know SQL and Python, learn the power of using these two languages together.;['SQL', 'Python (Programming Language)']
Database-Administration;SQL for Data Analysis;2023-07-17;92499;Learn fundamental SQL data analysis techniques especially useful for developers. Explore querying relational database values, filtering results, leveraging functions, and more.;['SQL', 'Data Analysis']
Database-Administration;Advanced SQL: High Performance Relational Divisions;2021-05-24;4445;This course teaches the theory of relational division and how to conquer the challenges of relational division in SQL.;['SQL']
Database-Administration;SQL Server Performance for Developers;2018-04-26;42059;Review concepts and strategies to help you enhance your app's performance on Microsoft SQL Server. Discover best practices for building efficient, scalable database applications.;['Microsoft SQL Server']
Database-Administration;Querying Microsoft SQL Server 2022;2022-10-27;26118;Learn how to retrieve information stored in a Microsoft SQL Server database using the Transact-SQL (T-SQL) language and the latest features of SQL Server 2022.;['Database Queries', 'Microsoft SQL Server']
Database-Administration;Microsoft SQL Server 2016: Installation and Administration;2016-11-09;21686;Learn how to install and administer SQL Server 2016. Find out how to optimize performance, secure SQL Server, and back up and restore your database.;['Microsoft SQL Server']
Database-Administration;SAS® 9.4 Cert Prep: Part 07 Using SQL in SAS;2020-01-06;13398;Prepare to take the SAS 9.4 certification exam. Learn how to integrate the power of SQL programming with SAS, in this SAS Institute cert prep course.;['SQL', 'SAS (Software)']
Database-Administration;Advanced  SQL – Window Functions;2020-05-28;27196;Learn how aggregate, rank, offset, and distribution window functions work‚ how to implement them efficiently, and how to solve the toughest SQL challenges elegantly.;['SQL']
Database-Administration;SQL Server Fundamentals: Master Basic Query Techniques;2021-01-12;275195;This course provides a straightforward, concise resource for non-developers to learn enough about relational databases and SQL syntax to write simple queries.;['Microsoft SQL Server']
Database-Administration;Implementing a Data Warehouse with SQL Server 2022;2023-01-31;33088;Learn how to create a long-term data storage solution using local SQL Server instances and cloud-based Azure Dedicated SQL Pools.;['Data Warehousing', 'Microsoft SQL Server']
Database-Administration;Complete Guide to Oracle Database 23ai: From Beginner to Advanced;2024-06-24;1494;Learn about the robust features, innovative enhancements, and powerful capabilities of Oracle 23ai.;['Oracle Database Administration', 'Database Security', 'Database Optimization']
Database-Administration;SQL Server: Security for Developers;2018-09-11;9684;Learn how to protect databases and preserve the integrity of an organization's data by configuring security settings in SQL Server.;['Database Security', 'Microsoft SQL Server']
Database-Administration;Designing Highly Scalable and Highly Available SQL Databases;2020-11-11;12915;Get a holistic overview of the essential elements of designing and implementing highly scalable and available relational databases.;['SQL', 'Database Design']
Database-Administration;Implementing a Data Warehouse SQL Server 2019;2019-10-23;64160;Create a long-term data storage solution using SQL Server 2019 and Azure SQL Data Warehouse.;['Data Warehousing', 'Microsoft SQL Server']
Database-Administration;Oracle Autonomous Database Administration Workshop;2023-08-16;2441;Learn Oracle Cloud Infrastructure terminology and core ideas. Plus, get ready for the Oracle Autonomous Database Cloud 2023 Specialist (1Z0-931-21) exam.;['Oracle Database', 'Data Management']
Database-Administration;Microsoft SQL Server 2019 Essential Training;2019-05-17;174565;"Master the fundamentals of SQL Server 2019. Learn how to create new databases, tables, and queries; manage query performance; create and restore a backup of a database; and more.";['Microsoft SQL Server']
Database-Administration;SQL Server: Reporting Services (2019);2019-07-23;56173;Discover how to build, edit, and publish interactive reports using Reporting Services in SQL Server.;['SQL Server Reporting Services (SSRS)']
Database-Administration;Database Foundations: Database Management;2021-02-16;25749;Part three of the Database Foundations series focuses on data management.;['Database Administration']
Database-Administration;Oracle Database 12c: Basic SQL;2018-01-17;112464;Learn how to use SQL in an Oracle Database 12c environment. This beginner-level course shows how to query, select, filter, join, and manipulate Oracle data using SQL statements.;['Oracle Database', 'SQL']
Database-Administration;Advanced MySQL Database Administration;2024-09-26;0;Learn advanced SQL skills for building, optimizing, and administering relational databases using MySQL Workbench.;['MySQL', 'Database Administration']
Database-Administration;From Excel to SQL;2021-02-02;110385;As big data gets bigger, you may need to pull insights directly from SQL. Learn how to apply your knowledge of Excel to gain new skills at capturing data from SQL.;['SQL', 'Microsoft Excel']
Database-Administration;Database Foundations: Application Development;2021-05-07;7729;This capstone to the Database Foundations series demonstrates how the RDBMS fits into the wider world of app development, as well as what it means to be a full-stack developer.;['Database Applications']
Database-Administration;SQL Practice: Intermediate Queries;2023-09-13;33201;Practice writing immediate queries in SQL in this hands-on, interactive course with coding challenges in CoderPad.;['SQL', 'Database Queries']
Database-Administration;SQL Server 2014 Essential Training;2015-06-12;21766;Learn everything you need to know to start building databases with SQL Server.;['Microsoft SQL Server']
Database-Administration;Advanced SQL for Data Science: Time Series;2019-04-26;51555;Learn how to model time series data and apply advanced analysis techniques using SQL.;['Time Series Analysis', 'Data Science', 'SQL']
Database-Administration;Quick Start Guide to SQL;2022-02-16;86039;Learn the fundamentals of structured query language (SQL) in Oracle Live SQL in this approachable, beginner-friendly course.;['SQL']
