0;1;2;3;4;5
Natural-Language-Processing-nlp;Microsoft Teams Bot Development;2018-02-28;28159;Learn how to set up, configure, and build a Teams bot. Discover how to register your bots, enable side loading, write code for scenarios specific to Teams, and test your bots.;['Chatbot Development', 'Microsoft Teams']
Natural-Language-Processing-nlp;Advanced NLP with Python for Machine Learning;2024-05-29;3263;Build upon your foundational knowledge of natural language processing by exploring more complex topics.;['Natural Language Processing (NLP)', 'Machine Learning', 'Python (Programming Language)']
Natural-Language-Processing-nlp;Building RAG Solutions with Azure AI Studio;2024-07-26;2957;Learn to effectively leverage Azure AI Studio for the creation of retrieval-augmented generation (RAG) solutions.;['Retrieval-Augmented Generation (RAG)', 'Azure AI Studio']
Natural-Language-Processing-nlp;Introduction to Conversational AI;2023-03-15;47455;Get a comprehensive overview of the history, uses, tools, and benefits of one of the hottest fields in technology: conversational AI.;['Artificial Intelligence for Business', 'Generative AI', 'Conversational AI']
Natural-Language-Processing-nlp;LLM Foundations: Building Effective Applications for Enterprises;2024-06-21;7884;Explore design considerations and best practices for building generative AI-powered applications at enterprise scale.;['Large Language Models (LLM)', 'Enterprise Software']
Natural-Language-Processing-nlp;Responsible Generative AI and Local LLMs;2024-07-16;2957;Explore the theory of generative AI and learn to use local LLMs.;['Large Language Models (LLM)', 'Responsible AI', 'Generative AI']
Natural-Language-Processing-nlp;Azure AI Fundamentals (AI-900) Cert Prep: 1 Conversational AI on Azure;2022-09-15;12084;Learn how to manage conversational AI workloads as you prepare for the first domain of Microsoft Azure AI Fundamentals (AI-900) certification exam.;['Conversational AI', 'Artificial Intelligence (AI)', 'Microsoft Azure']
Natural-Language-Processing-nlp;Hands-On Natural Language Processing;2022-06-29;13737;Learn to use natural language processing to make sense of text data and derive useful insights.;['Natural Language Processing (NLP)']
Natural-Language-Processing-nlp;Level up LLM applications development with LangChain and OpenAI;2024-09-24;0;Learn how to build powerful and context-aware applications using LangChain and OpenAI.;['AI Software Development', 'LangChain', 'Large Language Models (LLM)', 'OpenAI Products']
Natural-Language-Processing-nlp;RAG Tuned AIs with the Cohere API Platform;2024-09-16;3577;Learn how to develop RAG-based AI tuning with Cohere's API platform, optimizing models for various cloud environments.;['Retrieval-Augmented Generation (RAG)']
Natural-Language-Processing-nlp;Installing, Running and Testing LLMs on Your Local Computer;2024-01-29;11440;Learn the essentials of setting up, operating, and evaluating Large Language Models (LLMs) on your own computer.;['Large Language Models (LLM)']
Natural-Language-Processing-nlp;OpenAI API: Building Assistants;2023-12-07;7145;Learn how to use OpenAI’s Assistants API to create custom GPT agents for inclusion in your own applications.;['OpenAI API', 'OpenAI Products', 'Chatbot Development']
Natural-Language-Processing-nlp;Using Lightweight AI with Small Language Models;2024-05-21;3467;Lightweight AI models are faster, more efficient, and more limited alternatives to traditional large language models that are great for on-device and specialized AI operations.;['Large Language Models (LLM)', 'Artificial Intelligence (AI)']
Natural-Language-Processing-nlp;AI Show: Meta Llama 2 Foundational Model with Prompt Flow;2024-01-17;0;On this episode of the AI Show, explore the possibilities of using the Meta Llama 2 foundational model with Prompt Flow.;['LLaMA', 'Prompt Flow', 'Large Language Models (LLM)']
Natural-Language-Processing-nlp;Building NLP Pipelines with spaCy;2023-04-25;2159;Learn the essentials of problem-solving with spaCy, the popular, open-source software library for advanced natural language processing.;['Natural Language Processing (NLP)', 'spaCy']
