0;1;2;3;4;5
Machine-Learning;Machine Learning Foundations: Statistics;2023-10-18;10668;Learn how statistics can help you troubleshoot issues, optimize performance, and innovate, creating new machine learning models that are more efficient.;['Statistical Analysis', 'Machine Learning']
Machine-Learning;Machine Learning and AI Foundations: Decision Trees with SPSS;2017-03-03;99498;Establish a strong foundation in ML by exploring the IBM SPSS Modeler and learning about CHAID and C&RT. This course is designed to help expand your data science skills.;['Decision Trees', 'Machine Learning']
Machine-Learning;Google Cloud Platform for Machine Learning Essential Training;2024-02-26;1743;Learn how to design machine learning solutions with Google Cloud Platform.;['Google Cloud Platform (GCP)', 'Machine Learning']
Machine-Learning;Top 10 Skills for NLP Specialists;2023-04-27;3455;Explore 10 skills that you need to succeed as an NLP specialist.;['Natural Language Processing (NLP)', 'Machine Learning']
Machine-Learning;Azure AI Fundamentals (AI-900) Cert Prep: 2 Principles of Machine Learning on Azure;2022-07-21;5955;Explore the fundamental principles of machine learning on Azure to tackle the second domain of the Microsoft Azure AI Fundamentals (AI-900) certification exam.;['Machine Learning', 'Artificial Intelligence (AI)', 'Microsoft Azure']
Machine-Learning;NumPy Essential Training: 1 Foundations of NumPy;2021-11-29;19831;Learn about NumPy, the most useful Python library for data science and numerical computing.;['Scientific Computing', 'Machine Learning', 'NumPy']
Machine-Learning;Mistakes to Avoid in Machine Learning;2020-09-22;6720;Learn about the common mistakes you should avoid when building your machine learning models.;['Machine Learning']
Machine-Learning;Building Recommender Systems with Machine Learning and AI;2019-04-12;50421;Learn how to build recommender systems and help people discover new products and content with deep learning, neural networks, and machine learning recommendations.;['Machine Learning', 'Artificial Intelligence (AI)', 'Recommender Systems']
Machine-Learning;Artificial Intelligence Foundations: Machine Learning;2023-05-30;106031;Learn about the machine learning lifecycle and the steps required to build systems in this hands-on course.;['Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;Microsoft Azure Data Scientist Associate (DP-100) Cert Prep: 3 Deploy and Operationalize Machine Learning Solutions;2023-01-30;0;Prepare for the third domain of the Microsoft Azure Data Scientist Associate (DP-100) exam.;['Microsoft Azure Machine Learning', 'Software Deployment']
Machine-Learning;Data-Centric AI: Best Practices, Responsible AI, and More;2024-01-25;4108;Learn how AI is shifting from a model-centric approach to a data-centric paradigm, where data serves as the bedrock of all AI endeavors.;['Responsible AI', 'Machine Learning']
Machine-Learning;AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 1 Data Engineering;2023-02-27;4858;Learn about data repositories, data ingestion, data warehousing solutions, and more to prepare for the AWS Certified Machine Learning – Specialty (MLS-C01) certification.;['Applied Machine Learning', 'Data Engineering', 'Amazon Web Services (AWS)']
Machine-Learning;Azure AI Engineer Associate (AI-102) Cert Prep: Implement Computer Vision Solutions;2024-04-12;1172;Learn how to implement computer vision solutions in Azure AI and prepare for the Azure AI Engineer Associate (AI-102) exam.;['Microsoft Azure Machine Learning', 'Computer Vision', 'Artificial Intelligence (AI)']
Machine-Learning;AI Show: Scaling Your AI/ML Practices with MLOps and Azure Machine Learning;2024-01-19;0;On this episode of the AI Show, learn how to utilize AzureML MLOps capabilities to streamline the process of moving ML experiments from training to inference.;['MLOps', 'Microsoft Azure Machine Learning']
Machine-Learning;AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 3 Modeling;2023-03-01;2682;Learn about modeling, the process of choosing and training the right machine-learning model, to prepare for the AWS Certified Machine Learning – Specialty (MLS-C01) certification.;['Machine Learning', 'Data Modeling', 'Amazon Web Services (AWS)']
Machine-Learning;Machine Learning with Python: k-Means Clustering;2022-05-23;11346;Learn the basics of k-means clustering, one of the most popular unsupervised machine learning approaches.;['k-means clustering', 'Machine Learning', 'Python (Programming Language)']
Machine-Learning;AI Show: Building NLP models with Azure ML AutoML;2023-03-15;1176;Learn how to build NLP models in Azure Machine Learning AutoML. Explore data analysis, multi-language learning, and review the language-to-model routing function.;['Natural Language Processing (NLP)', 'Microsoft Azure Machine Learning', 'Microsoft Azure']
Machine-Learning;Microsoft Azure Data Scientist Associate (DP-100) Cert Prep: 4 Implement Responsible Machine Learning;2023-01-31;1099;Prepare for the fourth domain of the Microsoft Azure Data Scientist Associate (DP-100) exam.;['Responsible AI', 'Microsoft Azure Machine Learning', 'Machine Learning']
Machine-Learning;Artificial Intelligence Foundations: Thinking Machines;2017-11-02;302131;Learn the key concepts behind artificial intelligence (AI), including strong and weak AI, approaches such as machine learning, and practical uses for new AI-enhanced technologies.;['Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;AI Show: Federated Learning with Azure Machine Learning;2023-05-02;0;On this episode of the AI Show, explore federated learning with Azure Machine Learning.;['Microsoft Azure Machine Learning', 'Artificial Intelligence (AI)', 'Microsoft Azure']
Machine-Learning;Machine Learning in Mobile Applications (2019);2019-03-21;17183;Learn how to apply the power of machine learning to mobile app development, using platforms such as IBM Watson, Microsoft Azure Cognitive Services, and Apple Core ML.;['Machine Learning', 'Mobile Applications']
Machine-Learning;Self-Supervised Machine Learning;2022-10-11;4328;Learn how self-supervised models can help take advantage of unlabelled data and use self-supervised models in transfer learning.;['Supervised Learning', 'Machine Learning']
Machine-Learning;Azure Machine Learning Development: Part 2;2022-11-04;5878;Learn how to run machine learning models in the cloud with Azure machine learning.;['Microsoft Azure Machine Learning']
Machine-Learning;Build GANs and Diffusion Models with TensorFlow and PyTorch;2022-09-15;6441;Explore the fundamentals of generative adversarial networks (GANs) and diffusion models, two of the most commonly used generative models in machine learning.;['Generative Adversarial Networks (GANs)', 'Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;Machine Learning Foundations: Calculus;2023-03-07;18692;Learn the basics of calculus concepts and techniques used to design and implement ML algorithms.;['Calculus', 'Machine Learning']
Machine-Learning;Microsoft Azure Machine Learning Fundamentals;2023-04-20;10740;Learn the fundamentals of machine learning in this hands-on course, and discover popular tools in Azure Machine Learning.;['Microsoft Azure Machine Learning', 'Microsoft Azure']
Machine-Learning;Google Cloud Professional Machine Learning Engineer Cert Prep: 5 Automating and Orchestrating ML Pipelines;2023-06-20;1390;Learn about automating and orchestrating ML pipelines in preparation for the Google Professional Machine Learning Engineer certification exam.;['Google Cloud Platform (GCP)', 'Machine Learning']
Machine-Learning;MLOps Essentials: Model Deployment and Monitoring;2022-10-07;10358;Learn how to deploy and monitor machine learning models to deliver scalable, reliable ML products and services.;['MLOps', 'Machine Learning']
Machine-Learning;AWS DeepRacer: Building a Reinforcement Learning Model;2022-09-16;2579;Discover the fundamentals of machine learning in this introductory course on reinforcement learning with AWS DeepRacer.;['Machine Learning', 'Amazon Web Services (AWS)']
Machine-Learning;Machine Learning and AI Foundations: Producing Explainable AI (XAI) and Interpretable Machine Learning Solutions;2022-02-17;9133;Learn best practices for how to produce explainable AI and interpretable machine learning solutions.;['Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;Power BI: Integrating AI and Machine Learning;2021-08-26;99984;Find out how you can give end users the capability to explore AI and machine learning in Power BI.;['Microsoft Power BI', 'Machine Learning']
Machine-Learning;Threat Modeling for AI/ML Systems;2024-04-25;1965;Learn how to deliver value securely with AI- and ML-powered business systems by threat modeling.;['Machine Learning', 'Artificial Intelligence (AI)', 'Threat Modeling']
Machine-Learning;Advanced NLP with Python for Machine Learning;2024-05-29;3263;Build upon your foundational knowledge of natural language processing by exploring more complex topics.;['Natural Language Processing (NLP)', 'Machine Learning', 'Python (Programming Language)']
Machine-Learning;Microsoft Azure Data Scientist Associate (DP-100) Cert Prep: 1 Manage Azure Resources for Machine Learning;2023-01-30;2184;Prepare for the first domain of the Microsoft Azure Data Scientist Associate (DP-100) exam.;['Azure Resource Manager', 'Microsoft Azure Machine Learning']
Machine-Learning;NumPy Essential Training: 2 MatPlotlib and Linear Algebra Capabilities;2022-03-04;5460;Learn the skills you need to create your NumPy analytical modules successfully and build professional analytical applications.;['Applied Machine Learning', 'Matplotlib', 'NumPy']
Machine-Learning;Leveraging Cloud-Based Machine Learning on Google Cloud Platform: Real World Applications;2020-02-20;8585;Learn the basics of leveraging Google Cloud Platform for building AI-based applications. Explore the tools that you can use today, as well as best practices for using them correctly.;['Google Cloud Platform (GCP)', 'Machine Learning']
Machine-Learning;AI Show: MLOps (v2) - Unifying MLOps at Microsoft;2023-03-15;0;Learn how to approach MLOps as a process of organization. Explore how to train, package, validate, deploy, and monitor your machine learning model.;['MLOps', 'Artificial Intelligence (AI)']
