0;1;2;3;4;5
Data-Analysis;Databricks Certified Data Engineer Associate Cert Prep: 5 Data Governance;2024-01-25;1473;Boost your skills as a data science professional to prepare for the first part of the fifth section of the Databricks Certified Data Engineer Associate certification exam.;['Data Governance', 'Databricks Products', 'Data Engineering']
Data-Analysis;SQL Tips and Tricks for Data Science;2016-11-29;204732;Get Ben Sullins's 12 must-have SQL techniques for data science pros—engineers, DevOps, data miners, programmers, and other systems specialists.;['SQL']
Data-Analysis;Quantile and Box-Whisker Plots in the Wolfram Language;2024-01-10;0;Get an overview of the statistical visualization functionality built into the Wolfram Language.;['Wolfram Language', 'Data Analysis']
Data-Analysis;Intermediate SQL for Data Scientists;2021-07-20;103352;Dive into one of the most important data science tools: SQL. Learn how to use joins and subqueries, statistical functions, window functions, and much more.;['SQL', 'Database Queries']
Data-Analysis;Excel 2016: Data Validation in Depth;2016-09-19;57537;Learn how to use the data validation tools in Excel 2016 to control how users input data into workbooks and ensure data is entered consistently and accurately.;['Data Validation', 'Microsoft Excel']
Data-Analysis;Big Data Analytics with Hadoop and Apache Spark (2020);2020-02-24;43323;Discover how to build scalable and optimized data analytics pipelines by combining the powers of Apache Hadoop and Spark.;['Hadoop', 'Apache Spark', 'Big Data Analytics']
Data-Analysis;NumPy Essential Training: 2 MatPlotlib and Linear Algebra Capabilities;2022-03-04;5460;Learn the skills you need to create your NumPy analytical modules successfully and build professional analytical applications.;['Applied Machine Learning', 'Matplotlib', 'NumPy']
Data-Analysis;Elasticsearch Essential Training;2023-01-26;14741;Get up to speed with Elasticsearch. Learn about the architecture of Elasticsearch, the different deployment methods, how to query data, how to work with Kibana, and more.;['Elasticsearch']
Data-Analysis;Using Tableau to Discover Powerful Business Insights;2022-03-01;29108;Learn how to use Tableau to create, export, and share data visualizations that can offer you powerful business insights.;['Tableau', 'Business Analysis']
Data-Analysis;Tableau 10 for Data Scientists;2016-09-12;93883;Tableau was made for data science. Learn how to format and filter messy data, use Tableau for data analysis, and visualize data with maps and dashboards.;['Tableau']
Data-Analysis;Using SQL with Python;2021-07-12;80309;If you already know SQL and Python, learn the power of using these two languages together.;['SQL', 'Python (Programming Language)']
Data-Analysis;Azure Data Fundamentals (DP-900) Cert Prep: 4 Analytics Workloads on Azure;2022-08-08;5151;Learn all about analytics workloads, as well as data within Microsoft Azure, as part of your preparations for the Microsoft Azure Data Fundamentals exam.;['Data Analytics', 'Microsoft Azure']
